id;date;transaction_type;description;amount;currency
1;2019-12-04T15:27:53;Facilitator;Views e-enable Communications;72727;archive Georgia Aruba
2;2019-12-03T20:50:00;navigating;interactive generating compelling;28093;Faroe Islands Plastic
3;2019-12-04T00:38:56;Small;deliverables reinvent 24 hour;1407;magenta monitor 1080p
4;2019-12-04T05:21:30;Identity;Frozen IB;62329;archive Fantastic Plastic Chicken
5;2019-12-04T12:05:49;pixel withdrawal;Mississippi embrace Developer;84891;hard drive Robust Networked
6;2019-12-04T18:55:51;system Small;Intelligent Outdoors;63641;knowledge base Buckinghamshire
7;2019-12-03T22:07:12;Phased;Saint Lucia white;94285;Money Market Account
8;2019-12-04T03:13:36;JSON;virtual deposit;87146;digital maroon
9;2019-12-03T22:28:49;Ghana back-end National;Direct;27213;withdrawal
10;2019-12-04T19:53:20;cutting-edge ability Hat;supply-chains magenta;11986;24/7
